book_or_offer,short_num,content_pillar,campaign,script_topic,mp3_ready,account,posted,instagram_url,youtube_url,x_url,x_views,x_likes,x_reposts,post_date,notes,x_account
Win the Long War,1,Sleep,Win the Long War Launch,Most men over 50 think they need less sleep. The science says the opposite.,Y,@willpowerprotocols,Y,https://www.instagram.com/reel/DYaRg89MvN8/,https://youtube.com/shorts/QvActf-jq8Q?feature=share,https://x.com/wpprotocols/status/2056823918850089367,,,,5/17/2026,,@wpprotocols
Win the Long War,2,Muscle,Win the Long War Launch,After 50: 3â€“5% muscle loss per decade. Muscle is metabolic armor.,Y,@willpowerprotocols,Y,https://www.instagram.com/reel/DYaX5hfB4Q1/,https://youtube.com/shorts/gICVJCGm3jU?feature=share,https://x.com/wpprotocols/status/2056824077227020772,,,,5/17/2026,,@wpprotocols
Win the Long War,3,Cholesterol,Win the Long War Launch,I dropped my cholesterol 75 points. No medication.,Y,@willpowerprotocols,Y,https://www.instagram.com/p/DYfEU2rMDUs/,https://youtube.com/shorts/U8LIilIaB2U?feature=share,https://x.com/wpprotocols/status/2056824457361031615,,,,5/18/2026,,@wpprotocols
Win the Long War,4,Zone 2,Win the Long War Launch,Zone 2 dropped my resting heart rate from 59 to 36.,N,@willpowerprotocols,Y,https://www.instagram.com/reel/DYfc3hjlEyw/,https://youtube.com/shorts/Fnc8dGw59GQ,https://x.com/wpprotocols/status/2056824607269683435,,,,5/18/2026,,@wpprotocols
Win the Long War,5,System,Win the Long War Launch,Discipline without a system is suffering in the wrong direction.,N,@willpowerprotocols,Y,https://www.instagram.com/reel/DYh_aXNA69o/,https://youtube.com/shorts/Fnc8dGw59GQ,https://x.com/wpprotocols/status/2056824745396506862,,,,5/19/2026,,@wpprotocols
Win the Long War Women's Edition,1,Sleep,Women's Edition Launch,Menopause attacks sleep architecture directly. Estrogen decline reduces REM.,N,@willpowerprotocols,N,,,,,,,,,@wpprotocols
Win the Long War Women's Edition,2,Muscle,Women's Edition Launch,Estrogen protects muscle. When it drops â€” metabolic emergency most women aren't told about.,N,@willpowerprotocols,N,,,,,,,,,@wpprotocols
Win the Long War Women's Edition,3,Bone,Women's Edition Launch,Women lose up to 20% bone density in 5â€“7 years post-menopause. Silently.,N,@willpowerprotocols,N,,,,,,,,,@wpprotocols
Win the Long War Women's Edition,4,Cortisol,Women's Edition Launch,After menopause: cortisol and belly fat have a direct link that didn't exist at 35.,N,@willpowerprotocols,N,,,,,,,,,@wpprotocols
Win the Long War Women's Edition,5,Identity,Women's Edition Launch,Most women's health books were written using research conducted on men.,N,@willpowerprotocols,N,,,,,,,,,@wpprotocols
The Clydesdale Protocol,1,Nutrition,Clydesdale Protocol Launch,Most nutrition plans assume 165 lbs. You're not 165 lbs. 700 calorie gap per half-ironman.,Y,@willpowerprotocols,N,,,,,,,,MP3 recorded in Adam Spencer â€” re-record in Conner when time permits,@wpprotocols
