platform,published_at,media_type,title_or_caption,url,views,likes,comments,shares,saves,estimated_minutes_watched,average_view_duration_seconds,subscribers_gained,engagement_rate_percent,channel_label,publishedAt,published_date,mediaType,post_type,titleOrCaption,reach,clicks,estimatedMinutesWatched,averageViewDurationSeconds,subscribersGained,engagementRatePercent,content_signal,recommended_action,facebook_reel_plays,facebook_3s_views,facebook_3s_unique_views,facebook_10s_views,facebook_15s_views,facebook_total_views_any,facebook_total_media_view,facebook_total_media_view_unique,estimated_actual_views,facebook_15s_view_rate_percent,facebook_plays_per_reached_person,facebook_avg_watch_seconds,reactions,length_seconds,facebook_metric_source,facebook_candidate_source,facebook_video_id_used,facebook_post_id_fallback,facebook_reactions_by_type,facebook_clicks_by_type,facebook_insight_metrics_returned,facebook_raw_metrics_json,page_name,asset_key,pillar,topic,post_date,engagement_rate,facebook_url,fbid,url_normalized,campaign,short_num,already_crossposted,book_or_offer,content_pillar,cta
Facebook-WB,2026-06-15,VIDEO,"He came back with something in his right hand.  Harvard carbon dated it at 43,200 years before present.  He has been keeping field reports. Not b...",https://www.facebook.com/reel/1621117916383125/,602,8,0,0,0,85.13,8.48,0,1.33,,2026-06-15T19:02:32+0000,2026-06-15,VIDEO,REEL,"He came back with something in his right hand.  Harvard carbon dated it at 43,200 years before present.  He has been keeping field reports. Not b...",0.0,5.0,85.13,8.48,0.0,1.33,Winner,Study the hook/title and make a follow-up.,602.0,319.0,319.0,0.0,119.0,602.0,0.0,596.0,602.0,19.77,0.0,8.48,8.0,32.0,post_insights+video_insights,posts_attachment,1621117916383125,1139610515899648_122107048389338188,"{""like"": 8}","{""other clicks"": 5}","blue_reels_play_count,post_clicks,post_clicks_by_type,post_reactions_by_type_total,post_total_media_view_unique,post_video_avg_time_watched,post_video_complete_views_30s,post_video_complete_views_30s_unique,post_video_view_time,post_video_views,post_video_views_15s,post_video_views_unique","{""blue_reels_play_count"": 602, ""post_video_view_time"": 5107926, ""post_video_avg_time_watched"": 8484, ""post_reactions_by_type_total"": {""like"": 8}, ""post_clicks"": 5, ""post_clicks_by_type"": {""other clicks"": 5}, ""post_video_views"": 319, ""post_video_views_unique"": 319, ""post_video_views_15s"": 119, ""post_total_media_view_unique"": 596, ""post_video_complete_views_30s"": 33, ""post_video_complete_views_30s_unique"": 33}",,,,,,,,,https://www.facebook.com/reel/1621117916383125,What the Blood Knows Launch,4,True,What the Blood Knows,Artifact,—
YouTube,2026-05-27,VIDEO,The Roman System — Why Ordinary Men Built an Empire | The Roman Protocol,https://www.youtube.com/watch?v=NA_Ukkl4Z5c,543,15,0,1,0,116.0,24.0,1,2.95,Will Power Protocols,,,,,,,,,,,,"Winner, Watch-Time Winner, Promising, Repurpose Candidate",Study the hook/title and make a follow-up. This generated real watch time; create a deeper version. Good engagement; test a stronger hook or repost angle. Turn this Short into an Instagram Reel.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.youtube.com/watch?v=NA_Ukkl4Z5c,Roman Protocol Launch,1,True,The Roman Protocol,System,—
YouTube,2026-05-29,VIDEO,Marcus Aurelius's 3-Minute Morning Protocol — Ancient Science | The Roman Protocol,https://www.youtube.com/watch?v=UalA78muB08,485,13,0,2,0,50.0,20.0,0,3.09,Will Power Protocols,,,,,,,,,,,,"Winner, Watch-Time Winner, Promising, Repurpose Candidate",Study the hook/title and make a follow-up. This generated real watch time; create a deeper version. Good engagement; test a stronger hook or repost angle. Turn this Short into an Instagram Reel.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.youtube.com/watch?v=UalA78muB08,Roman Protocol Launch,3,True,The Roman Protocol,Mindset,—
YouTube,2026-05-28,VIDEO,"Roman Legionaries Invented Zone 2 Training 2,000 Years Ago | The Roman Protocol",https://www.youtube.com/watch?v=qeOkF_QsAag,471,7,0,2,0,176.0,49.0,0,1.91,Will Power Protocols,,,,,,,,,,,,"Winner, Sticky, Watch-Time Winner, Promising, Repurpose Candidate",Study the hook/title and make a follow-up. Audience watched longer than usual; expand this topic. This generated real watch time; create a deeper version. Good engagement; test a stronger hook or repost angle. Turn this Short into an Instagram Reel.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.youtube.com/watch?v=qeOkF_QsAag,Roman Protocol Launch,2,True,The Roman Protocol,Zone 2,—
YouTube,2026-05-22,VIDEO,Use AI To Protect Your Brain After 50 | Cognitive Protocol | AI After 50,https://www.youtube.com/watch?v=35el68RGBco,339,4,0,0,0,29.0,22.0,1,1.18,Will Power Protocols,,,,,,,,,,,,"Winner, Watch-Time Winner, Repurpose Candidate",Study the hook/title and make a follow-up. This generated real watch time; create a deeper version. Turn this Short into an Instagram Reel.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.youtube.com/watch?v=35el68RGBco,AI After 50 Launch,4,True,AI After 50,Cognition,—
YouTube,2026-05-27,VIDEO,What the Blood Knows — Official Trailer | The Waking Series | Will Byron,https://www.youtube.com/watch?v=jgIbJFkHzqk,307,5,0,0,0,22.0,17.0,0,1.63,Will Power Protocols,,,,,,,,,,,,"Winner, Watch-Time Winner, Promising, Repurpose Candidate",Study the hook/title and make a follow-up. This generated real watch time; create a deeper version. Good engagement; test a stronger hook or repost angle. Turn this Short into an Instagram Reel.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.youtube.com/watch?v=jgIbJFkHzqk,—,—,,—,—,—
Facebook,2026-05-21,VIDEO,"Most men over 50 think they need less sleep. The science says the opposite.  Growth hormone, testosterone, cortisol regulation, muscle repair — a...",https://www.facebook.com/reel/4377515822535852/,238,1,0,0,0,17.23,4.34,0,0.42,,2026-05-21T20:12:34+0000,2026-05-21,VIDEO,REEL,"Most men over 50 think they need less sleep. The science says the opposite.  Growth hormone, testosterone, cortisol regulation, muscle repair — a...",0.0,0.0,17.23,4.34,0.0,0.42,Winner,Study the hook/title and make a follow-up.,238.0,82.0,79.0,0.0,13.0,238.0,0.0,233.0,238.0,5.46,0.0,4.34,1.0,44.0,post_insights+video_insights,posts_attachment,4377515822535852,1099582573243403_122095484451340266,"{""like"": 1}",{},"blue_reels_play_count,post_clicks,post_clicks_by_type,post_reactions_by_type_total,post_total_media_view_unique,post_video_avg_time_watched,post_video_complete_views_30s,post_video_complete_views_30s_unique,post_video_view_time,post_video_views,post_video_views_15s,post_video_views_unique","{""blue_reels_play_count"": 238, ""post_video_view_time"": 1033750, ""post_video_avg_time_watched"": 4343, ""post_reactions_by_type_total"": {""like"": 1}, ""post_clicks"": 0, ""post_clicks_by_type"": {}, ""post_video_views"": 82, ""post_video_views_unique"": 79, ""post_video_views_15s"": 13, ""post_total_media_view_unique"": 233, ""post_video_complete_views_30s"": 6, ""post_video_complete_views_30s_unique"": 5}",,,,,,,,,https://www.facebook.com/reel/4377515822535852,Win the Long War Launch,1,True,Win the Long War,Sleep,—
Facebook,2026-06-01,VIDEO,"Standard plans excluded you twice — wrong sex, wrong weight. You're running someone else's protocol in a body it was never designed for. Max 8% r...",https://www.facebook.com/reel/1561676578901545/,233,0,0,0,0,78.37,20.18,0,0.0,,2026-06-01T10:02:42+0000,2026-06-01,VIDEO,REEL,"Standard plans excluded you twice — wrong sex, wrong weight. You're running someone else's protocol in a body it was never designed for. Max 8% r...",0.0,0.0,78.37,20.18,0.0,0.0,Winner,Study the hook/title and make a follow-up.,233.0,40.0,39.0,0.0,2.0,233.0,0.0,229.0,233.0,0.86,0.0,20.18,0.0,41.0,post_insights+video_insights,posts_attachment,1561676578901545,1099582573243403_122102791977340266,{},{},"blue_reels_play_count,post_clicks,post_clicks_by_type,post_reactions_by_type_total,post_total_media_view_unique,post_video_avg_time_watched,post_video_complete_views_30s,post_video_complete_views_30s_unique,post_video_view_time,post_video_views,post_video_views_15s,post_video_views_unique","{""blue_reels_play_count"": 233, ""post_video_view_time"": 4702454, ""post_video_avg_time_watched"": 20182, ""post_reactions_by_type_total"": {}, ""post_clicks"": 0, ""post_clicks_by_type"": {}, ""post_video_views"": 40, ""post_video_views_unique"": 39, ""post_video_views_15s"": 2, ""post_total_media_view_unique"": 229, ""post_video_complete_views_30s"": 2, ""post_video_complete_views_30s_unique"": 1}",,,,,,,,,https://www.facebook.com/reel/1561676578901545,Athena Protocol Launch,3,True,The Athena Protocol,Plans,—
Facebook-WB,2026-06-06,VIDEO,Epigenetic inheritance is documented science.  What we inherit from our ancestors is not just eye color and blood type. We may carry the imprint ...,https://www.facebook.com/reel/1000424532920092/,217,3,0,0,0,51.13,14.14,0,1.38,,2026-06-06T09:09:11+0000,2026-06-06,VIDEO,REEL,Epigenetic inheritance is documented science.  What we inherit from our ancestors is not just eye color and blood type. We may carry the imprint ...,0.0,0.0,51.13,14.14,0.0,1.38,Winner,Study the hook/title and make a follow-up.,217.0,95.0,95.0,0.0,36.0,217.0,0.0,216.0,217.0,16.59,0.0,14.14,3.0,41.0,post_insights+video_insights,posts_attachment,1000424532920092,1139610515899648_122104927797338188,"{""like"": 3}",{},"blue_reels_play_count,post_clicks,post_clicks_by_type,post_reactions_by_type_total,post_total_media_view_unique,post_video_avg_time_watched,post_video_complete_views_30s,post_video_complete_views_30s_unique,post_video_view_time,post_video_views,post_video_views_15s,post_video_views_unique","{""blue_reels_play_count"": 217, ""post_video_view_time"": 3067681, ""post_video_avg_time_watched"": 14136, ""post_reactions_by_type_total"": {""like"": 3}, ""post_clicks"": 0, ""post_clicks_by_type"": {}, ""post_video_views"": 95, ""post_video_views_unique"": 95, ""post_video_views_15s"": 36, ""post_total_media_view_unique"": 216, ""post_video_complete_views_30s"": 22, ""post_video_complete_views_30s_unique"": 22}",,,,,,,,,https://www.facebook.com/reel/1000424532920092,What the Blood Knows Launch,2,True,What the Blood Knows,Science,—
Facebook,2026-05-21,VIDEO,Your doctor has 14 minutes. Your bloodwork has 60 data points.  Those two facts do not add up. After 50 your panels matter more than ever — testo...,https://www.facebook.com/reel/831907342925223/,211,0,0,0,0,29.38,8.35,0,0.0,,2026-05-21T09:50:35+0000,2026-05-21,VIDEO,REEL,Your doctor has 14 minutes. Your bloodwork has 60 data points.  Those two facts do not add up. After 50 your panels matter more than ever — testo...,0.0,0.0,29.38,8.35,0.0,0.0,Winner,Study the hook/title and make a follow-up.,211.0,64.0,60.0,0.0,10.0,211.0,0.0,200.0,211.0,4.74,0.0,8.35,0.0,41.0,post_insights+video_insights,posts_attachment,831907342925223,1099582573243403_122095138899340266,{},{},"blue_reels_play_count,post_clicks,post_clicks_by_type,post_reactions_by_type_total,post_total_media_view_unique,post_video_avg_time_watched,post_video_complete_views_30s,post_video_complete_views_30s_unique,post_video_view_time,post_video_views,post_video_views_15s,post_video_views_unique","{""blue_reels_play_count"": 211, ""post_video_view_time"": 1762508, ""post_video_avg_time_watched"": 8353, ""post_reactions_by_type_total"": {}, ""post_clicks"": 0, ""post_clicks_by_type"": {}, ""post_video_views"": 64, ""post_video_views_unique"": 60, ""post_video_views_15s"": 10, ""post_total_media_view_unique"": 200, ""post_video_complete_views_30s"": 6, ""post_video_complete_views_30s_unique"": 5}",,,,,,,,,https://www.facebook.com/reel/831907342925223,AI After 50 Launch,2,True,AI After 50,Bloodwork,—
